Date,Time,Latitude,Longitude
2022/02/07,19:39:06,-40.579285,-64.997398
2022/02/07,19:54:10,-40.579292,-64.997383
2022/02/07,20:09:35,-40.579323,-64.997421
2022/02/07,20:25:08,-40.579273,-64.997398
2022/02/07,20:40:56,-40.579327,-64.997391
2022/02/07,20:58:05,-40.579327,-64.997383
2022/02/08,06:01:34,-40.579338,-64.997391
2022/02/08,06:16:35,-40.579330,-64.997391
2022/02/08,06:31:35,-40.579304,-64.997375
2022/02/08,06:46:34,-40.579277,-64.997383
2022/02/08,07:01:35,-40.579288,-64.997398
2022/02/08,07:16:34,-40.579296,-64.997383
2022/02/08,07:31:34,-40.579285,-64.997414
2022/02/08,07:46:34,-40.579281,-64.997398
2022/02/08,08:01:41,-40.579304,-64.997421
2022/02/08,08:16:47,-40.579262,-64.997452
2022/02/08,08:32:26,-40.579300,-64.997414
2022/02/08,08:47:34,-40.579308,-64.997414
2022/02/08,09:02:51,-40.579300,-64.997414
2022/02/08,09:18:11,-40.579327,-64.997437
2022/02/08,09:33:43,-40.579350,-64.997475
2022/02/08,09:49:15,-40.579403,-64.997414
2022/02/08,10:05:30,-40.579384,-64.997398
2022/02/08,10:21:47,-40.579422,-64.997437
2022/02/08,10:37:09,-40.579418,-64.997513
2022/02/08,10:52:33,-40.579414,-64.997398
2022/02/08,11:08:03,-40.579395,-64.997421
2022/02/08,11:23:26,-40.579281,-64.997452
2022/02/08,11:38:36,-40.579372,-64.997520
2022/02/08,11:53:33,-40.579273,-64.997437
2022/02/08,12:08:45,-40.579460,-64.997482
2022/02/08,12:23:55,-40.579517,-64.997665
2022/02/08,12:39:18,-40.579178,-64.997322
2022/02/08,12:54:56,-40.579330,-64.997467
2022/02/08,13:15:47,-40.579323,-64.997505
2022/02/08,13:48:08,-40.579308,-64.997505
2022/02/08,14:19:49,-40.579243,-64.997612
2022/02/08,14:47:47,-40.579323,-64.997482
2022/02/08,15:18:22,-40.579308,-64.997475
2022/02/08,15:33:44,-40.579319,-64.997467
2022/02/08,15:49:13,-40.579311,-64.997475
2022/02/08,16:09:17,-40.579422,-64.997536
2022/02/08,16:24:50,-40.579227,-64.997528
2022/02/08,16:41:50,-40.579353,-64.997467
2022/02/08,17:04:52,-40.579327,-64.997414
2022/02/08,17:38:10,-40.579350,-64.997429
2022/02/08,18:08:32,-40.579399,-64.997337
2022/02/08,18:23:50,-40.579350,-64.997437
2022/02/08,18:46:57,-40.579342,-64.997459
2022/02/08,19:11:29,-40.579330,-64.997612
2022/02/08,19:53:27,-40.579308,-64.997429
2022/02/08,20:39:30,-40.579327,-64.997505
2022/02/08,20:54:48,-40.579350,-64.997429
2022/02/09,06:02:33,-40.579262,-64.997437
2022/02/09,06:17:32,-40.579216,-64.997444
2022/02/09,06:32:32,-40.579227,-64.997421
2022/02/09,06:47:31,-40.579258,-64.997437
2022/02/09,07:03:01,-40.579266,-64.997452
2022/02/09,07:18:02,-40.579277,-64.997467
2022/02/09,07:33:03,-40.579288,-64.997437
2022/02/09,07:48:05,-40.579296,-64.997459
2022/02/09,08:03:15,-40.579308,-64.997482
2022/02/09,08:18:21,-40.579311,-64.997444
2022/02/09,08:33:33,-40.579308,-64.997452
2022/02/09,08:48:55,-40.579292,-64.997459
2022/02/09,09:04:30,-40.579285,-64.997437
2022/02/09,09:19:37,-40.579327,-64.997459
2022/02/09,09:34:46,-40.579308,-64.997475
2022/02/09,09:50:03,-40.579330,-64.997467
2022/02/09,10:05:39,-40.579350,-64.997482
2022/02/09,10:20:56,-40.579372,-64.997467
2022/02/09,10:36:29,-40.579376,-64.997520
2022/02/09,10:51:54,-40.579411,-64.997459
2022/02/09,11:07:38,-40.579407,-64.997467
2022/02/09,11:23:19,-40.579323,-64.997459
2022/02/09,11:39:21,-40.579342,-64.997375
2022/02/09,11:58:12,-40.579334,-64.997505
2022/02/09,12:28:57,-40.579334,-64.997505
2022/02/09,12:45:52,-40.579380,-64.997459
2022/02/09,13:20:01,-40.579327,-64.997482
2022/02/09,14:12:11,-40.579327,-64.997475
2022/02/09,14:57:00,-40.579338,-64.997444
2022/02/09,15:12:28,-40.579304,-64.997406
2022/02/09,15:27:56,-40.579330,-64.997444
2022/02/09,15:43:31,-40.579338,-64.997429
2022/02/09,16:29:48,-40.579369,-64.997459
2022/02/09,17:08:20,-40.579327,-64.997452
2022/02/09,17:59:42,-40.578930,-64.998077
2022/02/09,18:39:10,-40.579063,-64.998146
2022/02/09,19:13:59,-40.578983,-64.998108
2022/02/09,19:29:41,-40.578861,-64.998016
