day;time distance;space distance;time;name one;name two
2022/01/31;483.3666666666667;5;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;498.6166666666667;5;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;513.8666666666667;0;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;529.1833333333333;11;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;544.5833333333334;11;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;559.9833333333333;13;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;575.1833333333333;14;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;590.1;1;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;604.8666666666667;0;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;620.0833333333334;2;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;635.2666666666667;1;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;650.3666666666667;2;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;665.4666666666667;2;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;680.9666666666667;2;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;696.8833333333333;2;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;712.2833333333333;3;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;727.6333333333333;1;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;742.9333333333333;3;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;758.2333333333333;2;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;773.5;1;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;788.7166666666667;1;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;803.8833333333333;6;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;368.1;16;1900-01-01T14:13:46.000000000;T30;T6
2022/01/31;70.93333333333334;3;1900-01-01T14:13:46.000000000;T30;T6
2022/01/31;56.05;3;1900-01-01T14:13:46.000000000;T30;T6
