day;time distance;space distance;sex one;sex two;time;name one;name two
1/12/2020;136.0;11;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;207.0;10;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;212.0;8;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;217.0;18;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;222.0;8;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;141.0;11;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;232.0;12;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;404.0;17;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;314.0;19;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;309.0;19;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;294.0;16;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;163.0;18;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;158.0;19;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;153.0;14;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;148.0;16;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;143.0;13;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;450.0;18;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;57.0;13;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;27.0;17;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;47.0;15;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;139.0;18;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;27.0;18;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;83.0;14;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;154.0;9;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;159.0;18;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;164.0;17;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;169.0;14;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;88.0;16;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;179.0;18;macho;macho;1900-01-01T20:57:00.000000000;T10;T171
1/12/2020;434.0;3;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;424.0;16;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;389.0;13;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
1/12/2020;344.0;9;macho;macho;1900-01-01T21:27:00.000000000;T10;T171
